Bab;Padişah Dönemi;Kişi;Sosyal Grup;İlişki Ağı (Genelde Kadınlar);NA Aile ilişkisi;NA Aile İlişkisi;NA Gelecek Nesil;Cinsiyet;Karar(Direkt);Karar (dolaylı);Etken Aktör;Sıfat-Söylem;Sıfat Değeri;Bizden;Öteki;Yaş;Ölüm Nedeni;;;;;;;;;;;;;;;
29;Orhan Gazi;Osman Gazi;Gazi;;;;;Erkek;n/a;n/a;n/a;Allah rahmetine kavuşdu;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
29;Orhan Gazi;Orhan Gāzi;Gazi;;;;;Erkek;Kodura köyi Alaaddin' virildi;n/a;1;Karındaş;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
29;Orhan Gazi;Ala'addin Paşa;Paşa;;;;;Erkek;n/a;n/a;n/a;Karındaş;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
29;Orhan Gazi;Ahı Hasan;Ahi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
30;Orhan Gazi;Orhan Gāzi;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
30;Orhan Gazi;Akça koca;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
30;Orhan Gazi;Yalakonya;n/a;;;;;Kadın;n/a;Ahde sadık kalmak için kafirlerin çöpünün bile alınmaması;1;Hisarın sahibi;Olumlu;-;Evet;;gögsine ok tokundı;;;;;;;;;;;;;;;
30;Orhan Gazi;İstanbul teküri;Tekür;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;-;Evet;;;;;;;;;;;;;;;;;
30;Orhan Gazi;Fazlullah Kadı;Kadı;;;;;Erkek;n/a;n/a;n/a;Akçakoca neslinden;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
31;Orhan Gazi;Ala'addin Paşa;Paşa;;Osman Gazi'nin Oğlu;Orhan Gaznin Kardeşi;;Erkek;askeri nişan alâmeti;n/a;1;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
31;Orhan Gazi;Orhan Gāzi;Padişah;;;;;Erkek;n/a;n/a;n/a;Padişah (ilk defa);Olumlu;Evet;-;;;;;;;;;;;;;;;;;
31;Orhan Gazi;Çandarlu Karaca;Beglerbegi;;;;;Erkek;n/a;n/a;n/a;Rüşvet alan;Olumsuz;Evet;-;;;;;;;;;;;;;;;;;
